File Version	v3.03.00
Modified Date	09/30/2020
Modified Time	13:44:46

SceneID	RoomID	SceneName
1	256	Open
2	256	Cleaning
3	256	Closed
4	256	Scene 1
5	256	Scene 2
7	256	Scene 3
8	256	Scene 4

